pdb,reason,temperature_k,ligand_len,receptor_len,size_source,subgroup,pdb_path,n_ca_ligand,n_ca_receptor,dN_ligand_nm,dN_receptor_nm
1A22,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1A22.pdb,180.0,192.0,0.9680790901184082,1.0793225765228271
1A4Y,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1A4Y.pdb,460.0,123.0,0.9881360530853271,1.1279407739639282
1ACB,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1ACB.pdb,241.0,63.0,1.064538836479187,1.8831396102905273
1AHW,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1AHW.pdb,428.0,200.0,1.169219732284546,1.264980673789978
1AK4,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1AK4.pdb,165.0,145.0,1.1452703475952148,1.9935262203216553
1AO7,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\1AO7.pdb,383.0,324.0,1.0876481533050537,1.2866802215576172
1B2S,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1B2S.pdb,110.0,90.0,1.251214623451233,1.381899356842041
1B2U,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1B2U.pdb,110.0,90.0,1.257608413696289,1.3824526071548462
1B3S,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1B3S.pdb,110.0,90.0,1.2539985179901123,1.3439221382141113
1B41,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1B41.pdb,531.0,61.0,1.0519496202468872,1.574784755706787
1BD2,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\1BD2.pdb,383.0,432.0,1.1004109382629395,1.2294765710830688
1BJ1,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1BJ1.pdb,431.0,188.0,1.2844219207763672,1.4634400606155396
1BP3,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1BP3.pdb,186.0,197.0,1.0456936359405518,1.1391615867614746
1BRS,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1BRS.pdb,108.0,87.0,1.2470717430114746,1.3988449573516846
1C1Y,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1C1Y.pdb,167.0,77.0,1.4299225807189941,1.7314716577529907
1C4Z,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1C4Z.pdb,1050.0,144.0,1.1487725973129272,1.3907307386398315
1CBW,interface_too_small_for_N,,,,,OTHER,src\bridging\generatedData\pdb_cache\1CBW.pdb,239.0,58.0,1.0726579427719116,2.294497489929199
1CHO,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CHO.pdb,238.0,53.0,1.0660988092422485,1.8330672979354858
1CSE,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CSE.pdb,274.0,63.0,1.0322341918945312,1.7434332370758057
1CSO,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CSO.pdb,185.0,51.0,1.0792741775512695,1.8959596157073975
1CT0,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CT0.pdb,185.0,51.0,1.0760269165039062,1.8927029371261597
